Time (Sec),Analog Input 0,Analog Input 1
0.581,4.84,4.14
0.582,4.83,4.13
0.582,4.83,4.12
0.583,4.83,4.13
0.583,4.83,4.14
0.584,4.84,4.14
0.584,4.84,4.14
0.585,4.84,4.14
0.585,4.84,4.14
0.586,4.84,4.14
0.586,4.84,4.14
0.587,4.84,4.14
0.587,4.84,4.14
0.588,4.84,4.14
0.588,4.84,4.14
0.589,4.84,4.14
0.589,4.84,4.14
0.59,4.84,4.14
0.59,4.84,4.14
0.591,4.78,3.98
0.591,4.71,3.88
0.592,4.65,3.8
0.592,4.6,3.73
0.593,4.55,3.68
0.593,4.51,3.63
0.594,4.48,3.59
0.594,4.45,3.54
0.595,4.41,3.5
0.595,4.38,3.46
0.596,4.35,3.43
0.596,4.34,3.4
0.597,4.32,3.36
0.597,4.29,3.33
0.598,4.26,3.3
0.598,4.24,3.27
0.599,4.21,3.23
0.599,4.19,3.2
0.6,4.16,3.17
0.6,4.05,2.92
0.601,4.04,2.91
0.601,4.02,2.89
0.602,4.01,2.88
0.602,4.01,2.87
0.603,3.99,2.85
0.603,3.98,2.84
0.604,3.97,2.83
0.604,3.97,2.83
0.605,3.97,2.82
0.605,3.97,2.82
0.606,3.97,2.82
0.606,3.98,2.83
0.607,3.99,2.84
0.607,4.0,2.84
0.608,4.0,2.84
0.608,4.02,2.86
0.609,4.04,2.88
0.609,4.05,2.88
0.61,4.06,2.89
0.61,4.07,2.9
0.611,4.09,2.91
0.611,4.1,2.91
0.612,4.09,2.92
0.612,4.1,2.92
0.613,4.11,2.93
0.613,4.12,2.93
0.614,4.11,2.92
0.614,4.1,2.92
0.615,4.11,2.92
0.615,4.84,4.11
0.616,4.83,4.11
0.616,4.83,4.12
0.617,4.84,4.12
0.617,4.84,4.13
0.618,4.84,4.12
0.618,4.84,4.12
0.619,4.84,4.12
0.619,4.83,4.12
0.62,4.84,4.13
0.62,4.84,4.13
0.621,4.84,4.12
0.621,4.83,4.12
0.622,4.83,4.12
0.622,4.84,4.12
0.623,4.84,4.12
0.623,4.83,4.12
0.624,4.84,4.13
0.624,4.84,4.13
0.625,4.84,4.13
0.625,4.83,4.13
0.626,4.84,4.13
0.626,4.84,4.13
0.627,4.84,4.13
0.627,4.84,4.13
0.628,4.84,4.14
0.628,4.84,4.14
0.629,4.84,4.14
0.629,4.84,4.14
0.63,4.84,4.14
0.63,4.85,4.15
0.631,4.85,4.15
0.631,4.84,4.14
0.632,4.84,4.14
0.632,4.84,4.14
0.633,4.84,4.14
0.633,4.84,4.14
0.634,4.84,4.14
0.634,4.84,4.14
0.635,4.84,4.14
0.635,4.84,4.14
0.636,4.84,4.14
0.636,4.84,4.14
0.637,4.84,4.14
0.637,4.84,4.14
0.638,4.84,4.14
0.638,4.83,4.13
0.639,4.83,4.13
0.639,4.84,4.13
0.64,4.84,4.14
0.64,4.85,4.14
0.64,4.83,4.14
0.641,4.83,4.13
0.641,4.84,4.14
0.642,4.84,4.13
0.642,4.84,4.13
0.643,4.84,4.13
0.643,4.84,4.14
0.644,4.84,4.13
0.644,4.84,4.14
0.645,4.32,3.39
0.645,4.29,3.36
0.646,4.28,3.35
0.646,4.27,3.32
0.647,4.24,3.29
0.647,4.23,3.27
0.648,4.22,3.26
0.648,4.22,3.24
0.649,4.21,3.22
0.649,4.2,3.21
0.65,4.21,3.2
0.65,4.2,3.19
0.651,4.19,3.17
0.651,4.18,3.16
0.652,4.17,3.15
0.652,4.17,3.14
0.653,4.16,3.11
0.653,4.14,3.1
0.654,4.13,3.08
0.654,4.12,3.06
0.655,4.1,3.04
0.655,4.08,3.02
0.656,4.07,3.01
0.656,4.05,2.98
0.657,4.03,2.96
0.657,4.02,2.95
0.658,4.01,2.93
0.658,4.0,2.92
0.659,4.0,2.92
0.659,3.99,2.91
0.66,3.98,2.82
0.66,3.98,2.81
0.661,3.97,2.81
0.661,3.97,2.8
0.662,3.96,2.8
0.662,3.99,2.81
0.663,3.99,2.81
0.663,3.99,2.82
0.664,4.1,3.0
0.664,4.33,3.26
0.665,4.53,3.49
0.665,4.66,3.68
0.666,4.73,3.8
0.666,4.77,3.87
0.667,4.79,3.92
0.667,4.79,3.95
0.668,4.8,3.98
0.668,4.81,4.0
0.669,4.81,4.03
0.669,4.83,4.04
0.67,4.82,4.05
0.67,4.82,4.06
0.671,4.83,4.07
0.671,4.83,4.07
0.672,4.83,4.08
0.672,4.83,4.09
0.673,4.83,4.09
0.673,4.83,4.09
0.674,4.83,4.1
0.674,4.83,4.1
0.675,4.84,4.13
0.675,4.84,4.13
0.676,4.84,4.13
0.676,4.84,4.13
0.677,4.83,4.12
0.677,4.83,4.12
0.678,4.83,4.12
0.678,4.84,4.14
0.679,4.85,4.13
0.679,4.83,4.12
0.68,4.82,4.12
0.68,4.83,4.12
0.681,4.84,4.13
0.681,4.83,4.13
0.682,4.83,4.13
0.682,4.84,4.13
0.683,4.84,4.13
0.683,4.83,4.13
0.684,4.83,4.13
0.684,4.83,4.13
0.685,4.84,4.13
0.685,4.83,4.13
0.686,4.83,4.14
0.686,4.84,4.15
0.687,4.84,4.14
0.688,4.84,4.14
0.688,4.84,4.14
0.689,4.84,4.14
0.689,4.84,4.14
0.69,4.84,4.13
0.69,4.84,4.14
0.691,4.83,4.14
0.691,4.84,4.15
0.692,4.85,4.14
0.692,4.84,4.14
0.693,4.84,4.14
0.693,4.84,4.13
0.694,4.83,4.13
0.694,4.83,4.13
0.695,4.83,4.13
0.695,4.84,4.14
0.696,4.84,4.14
0.696,4.84,4.13
0.697,4.84,4.13
0.697,4.83,4.12
0.698,4.83,4.12
0.698,4.83,4.12
0.699,4.83,4.13
0.699,4.84,4.13
0.7,4.84,4.13
0.7,4.83,4.12
0.701,4.83,4.13
0.701,4.83,4.13
0.702,4.83,4.06
0.702,4.75,3.93
0.703,4.68,3.83
0.703,4.62,3.76
0.704,4.57,3.71
0.704,4.53,3.65
0.705,4.49,3.6
0.705,4.1,3.0
0.706,4.1,3.0
0.706,4.11,3.01
0.707,4.12,3.01
0.707,4.12,3.01
0.708,4.13,3.01
0.708,4.12,3.0
0.709,4.12,3.0
0.709,4.12,3.0
0.71,4.12,2.99
0.71,4.1,2.97
0.711,4.08,2.96
0.711,4.09,2.96
0.712,4.08,2.94
0.712,4.06,2.92
0.713,4.03,2.9
0.713,4.02,2.89
0.714,4.01,2.88
0.714,4.0,2.86
0.715,3.99,2.85
0.715,3.99,2.85
0.716,3.98,2.84
0.716,3.98,2.83
0.717,3.98,2.83
0.717,3.98,2.83
0.718,3.98,2.83
0.718,3.99,2.83
0.719,4.0,2.88
0.719,4.17,3.09
0.72,4.4,3.33
0.72,4.83,4.11
0.721,4.83,4.11
0.721,4.83,4.12
0.722,4.84,4.12
0.722,4.84,4.12
0.723,4.84,4.12
0.723,4.84,4.12
0.724,4.84,4.13
0.724,4.84,4.13
0.725,4.83,4.13
0.725,4.84,4.14
0.726,4.84,4.13
0.726,4.83,4.12
0.727,4.83,4.13
0.727,4.84,4.14
0.728,4.85,4.14
0.728,4.84,4.13
0.729,4.83,4.12
0.729,4.83,4.13
0.73,4.83,4.13
0.73,4.84,4.12
0.731,4.83,4.12
0.731,4.83,4.13
0.732,4.83,4.12
0.732,4.83,4.12
0.733,4.83,4.12
0.733,4.83,4.12
0.734,4.83,4.12
0.734,4.83,4.12
0.735,4.83,4.12
0.735,4.84,4.12
0.736,4.84,4.12
0.736,4.83,4.12
0.737,4.83,4.12
0.737,4.83,4.13
0.738,4.83,4.12
0.738,4.84,4.13
0.739,4.84,4.13
0.739,4.84,4.13
0.74,4.84,4.13
0.74,4.83,4.13
0.741,4.83,4.13
0.741,4.84,4.14
0.742,4.84,4.14
0.742,4.84,4.13
0.743,4.83,4.14
0.743,4.85,4.14
0.744,4.85,4.14
0.744,4.83,4.13
0.745,4.83,4.13
0.745,4.83,4.13
0.746,4.83,4.13
0.746,4.84,4.14
0.747,4.84,4.13
0.747,4.83,4.13
0.748,4.83,4.13
0.748,4.84,4.13
0.749,4.83,4.13
0.749,4.83,4.12
0.75,4.83,4.12
0.75,4.21,3.23
0.751,4.18,3.2
0.751,4.16,3.17
0.752,4.14,3.14
0.752,4.12,3.11
0.753,4.1,3.09
0.753,4.08,3.07
0.754,4.07,3.05
0.754,4.06,3.04
0.755,4.05,3.02
0.755,4.04,3.01
0.756,4.04,3.01
0.756,4.04,3.0
0.757,4.04,3.0
0.757,4.06,3.0
0.758,4.07,3.0
0.758,4.06,2.99
0.759,4.06,2.99
0.759,4.07,3.0
0.76,4.1,3.01
0.76,4.11,3.01
0.761,4.11,3.01
0.761,4.11,3.01
0.762,4.12,3.01
0.762,4.12,3.01
0.763,4.12,3.01
0.763,4.12,3.01
0.764,4.12,3.0
0.764,4.12,3.0
0.765,4.12,2.99
0.765,4.1,2.91
0.766,4.1,2.93
0.766,4.2,3.1
0.767,4.4,3.31
0.767,4.55,3.53
0.768,4.67,3.7
0.768,4.74,3.8
0.768,4.76,3.86
0.769,4.78,3.91
0.769,4.79,3.94
0.77,4.8,3.96
0.77,4.8,3.98
0.771,4.81,4.0
0.771,4.81,4.01
0.772,4.82,4.03
0.772,4.82,4.04
0.773,4.81,4.04
0.773,4.82,4.06
0.774,4.83,4.06
0.774,4.83,4.07
0.775,4.82,4.07
0.775,4.82,4.08
0.776,4.84,4.1
0.776,4.84,4.09
0.777,4.83,4.09
0.777,4.82,4.09
0.778,4.83,4.1
0.778,4.84,4.11
0.779,4.84,4.11
0.779,4.83,4.11
0.78,4.83,4.12
0.78,4.83,4.12
0.781,4.83,4.12
0.781,4.83,4.13
0.782,4.84,4.13
0.782,4.84,4.13
0.783,4.83,4.13
0.783,4.84,4.13
0.784,4.84,4.13
0.784,4.84,4.12
0.785,4.83,4.13
0.785,4.83,4.12
0.786,4.83,4.12
0.786,4.83,4.12
0.787,4.84,4.13
0.787,4.84,4.13
0.788,4.83,4.11
0.788,4.83,4.12
0.789,4.83,4.12
0.789,4.83,4.12
0.79,4.84,4.12
0.79,4.83,4.11
0.791,4.83,4.12
0.791,4.83,4.11
0.792,4.82,4.12
0.792,4.84,4.13
0.793,4.84,4.13
0.793,4.83,4.12
0.794,4.83,4.12
0.794,4.83,4.12
0.795,4.83,4.11
0.795,4.83,4.12
0.796,4.83,4.12
0.796,4.83,4.12
0.797,4.83,4.12
0.797,4.83,4.12
0.798,4.83,4.12
0.798,4.83,4.12
0.799,4.83,4.12
0.799,4.83,4.12
0.8,4.84,4.13
0.8,4.84,4.13
0.801,4.83,4.13
0.801,4.83,4.13
0.802,4.84,4.13
0.802,4.84,4.13
0.803,4.83,4.13
0.803,4.84,4.07
0.804,4.76,3.93
0.804,4.68,3.83
0.805,4.61,3.75
0.805,4.55,3.68
0.806,4.51,3.62
0.806,4.46,3.56
0.807,4.41,3.5
0.807,4.36,3.45
0.808,4.33,3.42
0.808,4.31,3.38
0.809,4.28,3.34
0.809,4.24,3.3
0.81,4.0,2.9
0.81,4.0,2.89
0.811,3.99,2.88
0.811,3.99,2.87
0.812,3.99,2.87
0.812,3.99,2.87
0.813,4.0,2.87
0.814,4.0,2.88
0.814,4.01,2.88
0.815,4.02,2.88
0.815,4.03,2.89
0.816,4.04,2.9
0.816,4.05,2.9
0.817,4.07,2.92
0.817,4.08,2.92
0.818,4.08,2.92
0.818,4.09,2.93
0.819,4.1,2.94
0.819,4.1,2.94
0.82,4.1,2.94
0.82,4.1,2.93
0.821,4.1,2.93
0.821,4.1,2.93
0.822,4.1,2.92
0.822,4.08,2.91
0.823,4.08,2.9
0.823,4.07,2.88
0.824,4.05,2.87
0.824,4.03,2.85
0.825,4.01,2.84
0.825,4.83,4.09
0.826,4.82,4.09
0.826,4.83,4.1
0.827,4.83,4.09
0.827,4.82,4.09
0.828,4.82,4.09
0.828,4.83,4.1
0.829,4.82,4.1
0.829,4.83,4.1
0.83,4.83,4.1
0.83,4.83,4.1
0.831,4.83,4.1
0.831,4.83,4.1
0.832,4.83,4.1
0.832,4.83,4.11
0.833,4.83,4.11
0.833,4.83,4.11
0.834,4.83,4.11
0.834,4.83,4.11
0.835,4.83,4.11
0.835,4.83,4.11
0.836,4.83,4.12
0.836,4.83,4.12
0.837,4.83,4.12
0.837,4.84,4.12
0.838,4.84,4.12
0.838,4.83,4.12
0.839,4.84,4.12
0.839,4.84,4.12
0.84,4.83,4.12
0.84,4.83,4.12
0.841,4.83,4.12
0.841,4.84,4.13
0.842,4.84,4.12
0.842,4.83,4.12
0.843,4.83,4.12
0.843,4.84,4.12
0.844,4.83,4.11
0.844,4.82,4.11
0.845,4.83,4.11
0.845,4.83,4.11
0.846,4.83,4.11
0.846,4.82,4.11
0.847,4.83,4.11
0.847,4.84,4.12
0.848,4.83,4.11
0.848,4.82,4.11
0.849,4.83,4.11
0.849,4.83,4.12
0.85,4.83,4.11
0.85,4.83,4.11
0.851,4.83,4.12
0.851,4.83,4.11
0.852,4.83,4.12
0.852,4.83,4.12
0.853,4.83,4.12
0.853,4.83,4.12
0.854,4.83,4.12
0.854,4.83,4.12
0.855,4.83,4.13
0.855,4.36,3.43
0.856,4.34,3.4
0.856,4.33,3.37
0.857,4.31,3.35
0.857,4.29,3.33
0.858,4.28,3.3
0.858,4.27,3.28
0.859,4.25,3.26
0.859,4.24,3.24
0.86,4.23,3.22
0.86,4.22,3.2
0.861,4.19,3.17
0.861,4.18,3.15
0.862,4.16,3.13
0.862,4.14,3.1
0.863,4.12,3.08
0.863,4.1,3.06
0.864,4.08,3.04
0.864,4.06,3.01
0.865,4.05,3.0
0.865,4.04,2.99
0.866,4.03,2.97
0.866,4.02,2.96
0.867,4.02,2.95
0.867,4.02,2.94
0.868,4.02,2.94
0.868,4.02,2.94
0.869,4.02,2.94
0.869,4.03,2.94
0.87,4.04,2.94
0.87,4.0,2.83
0.871,4.01,2.83
0.871,4.02,2.84
0.872,4.03,2.85
0.872,4.05,2.87
0.873,4.06,2.87
0.873,4.07,2.88
0.874,4.09,2.9
0.874,4.14,3.03
0.875,4.34,3.25
0.875,4.52,3.47
0.876,4.65,3.66
0.876,4.71,3.77
0.877,4.75,3.85
0.877,4.78,3.9
0.878,4.79,3.94
0.878,4.79,3.96
0.879,4.8,3.98
0.879,4.8,4.0
0.88,4.81,4.01
0.88,4.81,4.02
0.881,4.81,4.02
0.881,4.81,4.04
0.882,4.82,4.05
0.882,4.82,4.05
0.883,4.81,4.05
0.883,4.82,4.06
0.884,4.82,4.07
0.884,4.82,4.07
0.885,4.82,4.07
0.885,4.83,4.11
0.886,4.83,4.1
0.886,4.82,4.11
0.887,4.83,4.11
0.887,4.83,4.11
0.888,4.83,4.11
0.888,4.83,4.11
0.889,4.83,4.11
0.889,4.83,4.11
0.89,4.83,4.11
0.89,4.83,4.11
0.891,4.82,4.11
0.891,4.82,4.12
0.892,4.83,4.11
0.892,4.83,4.11
0.893,4.82,4.11
0.893,4.82,4.11
0.894,4.82,4.11
0.894,4.83,4.12
0.895,4.83,4.11
0.895,4.82,4.11
0.896,4.82,4.11
0.896,4.82,4.12
0.896,4.83,4.11
0.897,4.82,4.11
0.897,4.83,4.12
0.898,4.82,4.11
0.898,4.82,4.11
0.899,4.82,4.11
0.899,4.82,4.1
0.9,4.83,4.12
0.9,4.82,4.11
0.901,4.82,4.11
0.901,4.83,4.12
0.902,4.83,4.11
0.902,4.82,4.1
0.903,4.81,4.07
0.903,4.75,3.92
0.904,4.68,3.82
0.904,4.61,3.73
0.905,4.54,3.66
0.905,4.49,3.61
0.906,4.46,3.56
0.906,4.42,3.51
0.907,4.39,3.47
0.907,4.36,3.44
0.908,4.33,3.4
0.908,4.31,3.37
0.909,4.3,3.35
0.909,4.29,3.33
0.91,4.27,3.3
0.91,4.26,3.29
0.911,4.26,3.27
0.911,4.24,3.25
0.912,4.23,3.24
0.912,4.22,3.22
0.913,4.21,3.2
0.913,4.21,3.19
0.914,4.2,3.17
0.914,4.19,3.16
0.915,4.1,2.95
0.915,4.1,2.95
0.916,4.1,2.94
0.916,4.09,2.93
0.917,4.09,2.92
0.917,4.08,2.91
0.918,4.06,2.9
0.918,4.05,2.88
0.919,4.03,2.87
0.919,4.01,2.85
0.92,4.01,2.84
0.92,3.99,2.83
0.921,3.99,2.82
0.921,3.98,2.81
0.922,3.97,2.81
0.922,3.97,2.8
0.923,3.97,2.8
0.923,3.98,2.81
0.924,3.98,2.81
0.924,3.99,2.8
0.925,4.0,2.82
0.925,4.0,2.82
0.926,4.02,2.82
0.926,4.03,2.86
0.927,4.05,2.85
0.927,4.05,2.87
0.928,4.07,2.89
0.928,4.08,2.88
0.929,4.09,2.89
0.929,4.09,2.91
0.93,4.81,4.04
0.93,4.81,4.05
0.931,4.82,4.06
0.931,4.82,4.06
0.932,4.82,4.07
0.932,4.83,4.08
0.933,4.82,4.08
0.933,4.83,4.08
0.934,4.83,4.09
0.934,4.82,4.08
0.935,4.82,4.09
0.935,4.82,4.09
0.936,4.82,4.09
0.936,4.82,4.1
0.937,4.83,4.1
0.938,4.83,4.09
0.938,4.82,4.09
0.939,4.82,4.09
0.939,4.82,4.09
0.94,4.82,4.1
0.94,4.83,4.1
0.941,4.82,4.1
0.941,4.82,4.09
0.942,4.82,4.1
0.942,4.82,4.1
0.943,4.82,4.1
0.943,4.82,4.1
0.944,4.83,4.11
0.944,4.83,4.11
0.945,4.83,4.1
0.945,4.82,4.1
0.946,4.82,4.11
0.946,4.83,4.11
0.947,4.82,4.11
0.947,4.82,4.11
0.948,4.82,4.11
0.948,4.82,4.11
0.949,4.82,4.12
0.949,4.82,4.11
0.95,4.82,4.11
0.95,4.83,4.12
0.951,4.84,4.13
0.951,4.83,4.12
0.952,4.83,4.12
0.952,4.83,4.12
0.953,4.83,4.12
0.953,4.83,4.12
0.954,4.83,4.12
0.954,4.83,4.12
0.955,4.83,4.11
0.955,4.83,4.11
0.956,4.82,4.12
0.956,4.83,4.12
0.957,4.83,4.11
0.957,4.82,4.11
0.958,4.82,4.11
0.958,4.82,4.11
0.959,4.83,4.11
0.959,4.82,4.11
0.96,4.82,4.1
0.96,4.28,3.35
0.961,4.25,3.31
0.961,4.22,3.28
0.962,4.21,3.26
0.962,4.19,3.23
0.963,4.17,3.2
0.963,4.16,3.19
0.964,4.15,3.17
0.964,4.14,3.16
0.965,4.14,3.15
0.965,4.14,3.13
0.966,4.14,3.13
0.966,4.14,3.12
0.967,4.15,3.12
0.967,4.15,3.11
0.968,4.15,3.1
0.968,4.14,3.09
0.969,4.15,3.09
0.969,4.15,3.09
0.97,4.14,3.08
0.97,4.14,3.07
0.971,4.13,3.06
0.971,4.13,3.05
0.972,4.12,3.04
0.972,4.11,3.02
0.973,4.1,3.01
0.973,4.09,2.99
0.974,4.06,2.97
0.974,4.06,2.95
0.975,4.04,2.94
0.975,4.06,2.89
0.976,4.04,2.87
0.976,4.03,2.85
0.977,4.02,2.84
0.977,4.0,2.83
0.978,3.99,2.81
0.978,3.98,2.81
0.979,3.98,2.81
0.979,3.98,2.8
0.98,3.98,2.79
0.98,3.97,2.79
0.981,3.98,2.82
0.981,4.11,3.01
0.982,4.34,3.25
0.982,4.52,3.48
0.983,4.65,3.67
0.983,4.72,3.78
0.984,4.75,3.84
0.984,4.77,3.89
0.985,4.78,3.93
0.985,4.79,3.96
0.986,4.8,3.98
0.986,4.8,4.0
0.987,4.8,4.01
0.987,4.81,4.03
0.988,4.81,4.04
0.988,4.81,4.05
0.989,4.82,4.06
0.989,4.82,4.06
0.99,4.82,4.07
0.99,4.82,4.1
0.991,4.81,4.1
0.991,4.82,4.11
0.992,4.82,4.11
0.992,4.82,4.11
0.993,4.83,4.12
0.993,4.84,4.12
0.994,4.84,4.12
0.994,4.83,4.11
0.995,4.83,4.1
0.995,4.83,4.11
0.996,4.83,4.11
0.996,4.83,4.11
0.997,4.83,4.11
0.997,4.83,4.11
0.998,4.83,4.11
0.998,4.83,4.11
0.999,4.83,4.11
0.999,4.83,4.11
1.0,4.83,4.11
1.0,4.83,4.11
1.0,4.83,4.11
1.001,4.83,4.12
1.002,4.83,4.12
1.002,4.84,4.12
1.002,4.84,4.12
1.003,4.84,4.12
1.004,4.83,4.12
1.004,4.84,4.13
1.004,4.84,4.12
1.005,4.83,4.12
1.006,4.82,4.11
1.006,4.83,4.12
1.006,4.83,4.12
1.007,4.83,4.12
1.008,4.83,4.12
1.008,4.83,4.12
1.008,4.83,4.12
1.009,4.83,4.12
1.01,4.84,4.13
1.01,4.84,4.12
1.01,4.83,4.12
1.011,4.83,4.12
1.012,4.83,4.11
1.012,4.83,4.12
1.012,4.83,4.12
1.013,4.83,4.11
1.014,4.82,4.11
1.014,4.82,4.11
1.014,4.82,4.11
1.015,4.83,4.11
1.016,4.83,4.11
1.016,4.82,4.11
1.016,4.82,4.11
1.017,4.83,4.11
1.018,4.83,4.11
1.018,4.83,4.11
1.018,4.83,4.06
1.019,4.75,3.92
1.02,4.68,3.82
1.02,4.04,2.96
1.02,4.04,2.96
1.021,4.05,2.97
1.022,4.07,2.97
1.022,4.07,2.98
1.022,4.08,2.98
1.023,4.09,2.99
1.024,4.1,2.99
1.024,4.11,2.99
1.024,4.11,3.0
1.025,4.12,3.0
1.026,4.13,3.0
1.026,4.13,3.0
1.026,4.12,2.99
1.027,4.11,2.98
1.028,4.11,2.98
1.028,4.11,2.97
1.028,4.11,2.96
1.029,4.09,2.95
1.03,4.08,2.94
1.03,4.07,2.92
1.03,4.06,2.91
1.031,4.04,2.9
1.032,4.03,2.88
1.032,4.02,2.86
1.032,4.0,2.85
1.033,3.99,2.84
1.034,3.98,2.83
1.034,3.98,2.83
1.034,3.98,2.83
1.035,4.82,4.05
1.036,4.83,4.06
1.036,4.82,4.06
1.036,4.81,4.05
1.037,4.8,4.05
1.038,4.81,4.07
1.038,4.83,4.08
1.038,4.83,4.09
1.039,4.83,4.09
1.04,4.83,4.08
1.04,4.82,4.09
1.04,4.82,4.09
1.041,4.83,4.1
1.042,4.84,4.1
1.042,4.83,4.1
1.042,4.83,4.1
1.043,4.83,4.11
1.044,4.83,4.11
1.044,4.83,4.11
1.044,4.82,4.11
1.045,4.83,4.11
1.046,4.82,4.1
1.046,4.81,4.1
1.046,4.81,4.1
1.047,4.83,4.11
1.048,4.83,4.11
1.048,4.83,4.11
1.048,4.83,4.11
1.049,4.83,4.11
1.05,4.83,4.11
1.05,4.83,4.11
1.05,4.83,4.11
1.051,4.83,4.12
1.052,4.83,4.11
1.052,4.83,4.11
1.052,4.82,4.1
1.053,4.81,4.1
1.054,4.83,4.12
1.054,4.85,4.13
1.054,4.84,4.12
1.055,4.83,4.11
1.056,4.82,4.1
1.056,4.82,4.1
1.056,4.82,4.12
1.057,4.84,4.12
1.058,4.84,4.12
1.058,4.83,4.11
1.058,4.82,4.11
1.059,4.83,4.12
1.06,4.83,4.12
1.06,4.83,4.12
1.06,4.83,4.12
1.061,4.83,4.12
1.062,4.83,4.12
1.062,4.83,4.12
1.062,4.83,4.12
1.063,4.82,4.12
1.064,4.83,4.12
1.064,4.83,4.11
1.065,4.82,4.11
1.065,4.84,4.13
1.066,4.78,3.96
1.066,4.7,3.87
1.067,4.64,3.78
1.067,4.58,3.7
1.068,4.52,3.65
1.068,4.49,3.6
1.069,4.45,3.54
1.069,4.39,3.48
1.07,4.35,3.43
1.07,4.31,3.39
1.071,4.28,3.35
1.071,4.26,3.31
1.072,4.23,3.28
1.072,4.2,3.25
1.073,4.18,3.22
1.073,4.16,3.2
1.074,4.15,3.18
1.074,4.14,3.16
1.075,4.14,3.14
1.075,4.13,3.13
1.076,4.13,3.12
1.076,4.13,3.11
1.077,4.13,3.11
1.077,4.13,3.1
1.078,4.13,3.1
1.078,4.14,3.09
1.079,4.15,3.1
1.079,4.15,3.09
1.08,4.15,3.08
1.08,4.07,2.91
1.081,4.08,2.91
1.081,4.09,2.92
1.082,4.1,2.93
1.082,4.1,2.93
1.083,4.1,2.93
1.083,4.1,2.93
1.084,4.11,2.93
1.084,4.1,2.92
1.085,4.09,2.91
1.085,4.08,2.91
1.086,4.09,2.91
1.086,4.08,2.89
1.087,4.06,2.88
1.087,4.05,2.86
1.088,4.03,2.85
1.088,4.02,2.83
1.089,4.0,2.82
1.089,4.0,2.87
1.089,4.16,3.07
1.09,4.4,3.31
1.091,4.57,3.53
1.091,4.67,3.69
1.091,4.73,3.79
1.092,4.76,3.85
1.093,4.77,3.89
1.093,4.78,3.93
1.093,4.79,3.96
1.094,4.8,3.98
1.095,4.8,4.0
1.095,4.83,4.1
1.095,4.83,4.1
1.096,4.83,4.11
1.097,4.83,4.11
1.097,4.83,4.11
1.097,4.83,4.11
1.098,4.83,4.11
1.099,4.84,4.12
1.099,4.84,4.11
1.099,4.83,4.12
1.1,4.83,4.12
1.101,4.84,4.12
1.101,4.83,4.11
1.101,4.82,4.11
1.102,4.83,4.12
1.103,4.85,4.13
1.103,4.84,4.11
1.103,4.83,4.11
1.104,4.82,4.11
1.105,4.83,4.11
1.105,4.83,4.11
1.105,4.83,4.11
1.106,4.83,4.11
1.107,4.83,4.11
1.107,4.83,4.11
1.107,4.83,4.11
1.108,4.83,4.11
1.109,4.83,4.11
1.109,4.83,4.11
1.109,4.83,4.11
1.11,4.83,4.11
1.111,4.83,4.11
1.111,4.83,4.11
1.111,4.83,4.11
1.112,4.83,4.11
1.113,4.83,4.11
1.113,4.83,4.11
1.113,4.83,4.11
1.114,4.83,4.12
1.115,4.83,4.11
1.115,4.83,4.11
1.115,4.84,4.12
1.116,4.84,4.13
1.117,4.84,4.12
1.117,4.83,4.11
1.117,4.82,4.12
1.118,4.84,4.13
1.119,4.85,4.13
1.119,4.83,4.12
1.119,4.83,4.12
1.12,4.83,4.12
1.121,4.83,4.12
1.121,4.83,4.12
1.121,4.83,4.12
1.122,4.83,4.12
1.123,4.83,4.12
1.123,4.83,4.12
1.123,4.83,4.12
1.124,4.83,4.11
1.125,4.83,4.03
1.125,4.11,3.04
1.125,4.09,3.01
1.126,4.07,3.0
1.127,4.06,2.97
1.127,4.04,2.96
1.127,4.03,2.94
1.128,4.02,2.93
1.129,4.01,2.92
1.129,4.01,2.91
1.129,4.0,2.91
1.13,4.0,2.9
1.131,4.0,2.9
1.131,4.01,2.9
1.131,4.01,2.9
1.132,4.01,2.9
1.133,4.03,2.91
1.133,4.03,2.9
1.133,4.04,2.91
1.134,4.06,2.93
1.135,4.08,2.93
1.135,4.07,2.93
1.135,4.08,2.94
1.136,4.09,2.94
1.137,4.1,2.95
1.137,4.11,2.95
1.137,4.11,2.95
1.138,4.11,2.95
1.139,4.11,2.95
1.139,4.11,2.94
1.139,4.1,2.93
1.14,4.77,3.9
1.141,4.78,3.93
1.141,4.79,3.97
1.141,4.81,3.99
1.142,4.8,4.0
1.143,4.81,4.01
1.143,4.81,4.02
1.143,4.81,4.03
1.144,4.81,4.04
1.145,4.81,4.05
1.145,4.81,4.05
1.145,4.82,4.06
1.146,4.81,4.06
1.147,4.81,4.07
1.147,4.83,4.08
1.147,4.83,4.08
1.148,4.82,4.06
1.149,4.81,4.07
1.149,4.82,4.09
1.149,4.85,4.11
1.15,4.84,4.1
1.151,4.83,4.09
1.151,4.83,4.1
1.151,4.83,4.1
1.152,4.83,4.1
1.153,4.83,4.1
1.153,4.83,4.1
1.153,4.83,4.11
1.154,4.83,4.11
1.155,4.83,4.11
1.155,4.83,4.12
1.155,4.83,4.12
1.156,4.83,4.12
1.157,4.83,4.12
1.157,4.83,4.12
1.157,4.83,4.12
1.158,4.83,4.12
1.159,4.83,4.12
1.159,4.83,4.12
1.159,4.84,4.13
1.16,4.84,4.12
1.161,4.83,4.12
1.161,4.83,4.12
1.161,4.83,4.12
1.162,4.83,4.12
1.163,4.82,4.11
